Crop,CropYear,Season,State,Area,Production,AnnualRainfall,Fertilizer,Pesticide,Yield
Wheat,2019,Rabi       ,Uttar Pradesh,9852504,36209665,814.5,1692266087,3645426.48,3.688533333
Arhar/Tur,2019,Kharif     ,Uttarakhand,3182,2735,1378.9,546540.32,1177.34,0.761
Barley,2019,Rabi       ,Uttarakhand,20117,28539,1378.9,3455295.92,7443.29,1.604615385
Garlic,2019,Whole Year ,Uttarakhand,4600,34716,1378.9,790096,1702,5.727727273
Gram,2019,Rabi       ,Uttarakhand,722,547,1378.9,124010.72,267.14,0.74
Groundnut,2019,Kharif     ,Uttarakhand,669,706,1378.9,114907.44,247.53,0.985
Horse-gram,2019,Kharif     ,Uttarakhand,13223,12194,1378.9,2271182.48,4892.51,0.931818182
Maize,2019,Kharif     ,Uttarakhand,21193,40823,1378.9,3640109.68,7841.41,1.706923077
Maize,2019,Summer     ,Uttarakhand,362,491,1378.9,62177.12,133.94,1.7
Masoor,2019,Rabi       ,Uttarakhand,10246,10405,1378.9,1759852.96,3791.02,0.96
Moong(Green Gram),2019,Kharif     ,Uttarakhand,2,2,1378.9,343.52,0.74,1
Moong(Green Gram),2019,Summer     ,Uttarakhand,10,6,1378.9,1717.6,3.7,0.62
Moth,2019,Kharif     ,Uttarakhand,9,5,1378.9,1545.84,3.33,0.56
Onion,2019,Whole Year ,Uttarakhand,3474,56216,1378.9,596694.24,1285.38,16.14615385
Other  Rabi pulses,2019,Rabi       ,Uttarakhand,51,42,1378.9,8759.76,18.87,0.853333333
Other Cereals,2019,Kharif     ,Uttarakhand,777,789,1378.9,133457.52,287.49,0.952
Other Cereals,2019,Rabi       ,Uttarakhand,371,297,1378.9,63722.96,137.27,0.8
Other Kharif pulses,2019,Kharif     ,Uttarakhand,14318,14866,1378.9,2459259.68,5297.66,1.02
Peas & beans (Pulses),2019,Rabi       ,Uttarakhand,5903,5153,1378.9,1013899.28,2184.11,0.640769231
Potato,2019,Kharif     ,Uttarakhand,8156,86509,1378.9,1400874.56,3017.72,11.09181818
Potato,2019,Rabi       ,Uttarakhand,6411,76031,1378.9,1101153.36,2372.07,11.32923077
Ragi,2019,Kharif     ,Uttarakhand,91584,129994,1378.9,15730467.84,33886.08,1.525454545
Rapeseed &Mustard,2019,Rabi       ,Uttarakhand,12639,12472,1378.9,2170874.64,4676.43,0.860769231
Rice,2019,Kharif     ,Uttarakhand,240411,615514,1378.9,41292993.36,88952.07,1.933846154
Rice,2019,Summer     ,Uttarakhand,17370,61915,1378.9,2983471.2,6426.9,3.563333333
Sesamum,2019,Kharif     ,Uttarakhand,2052,620,1378.9,352451.52,759.24,0.326153846
Small millets,2019,Kharif     ,Uttarakhand,50305,67967,1378.9,8640386.8,18612.85,1.325454545
Soyabean,2019,Kharif     ,Uttarakhand,8003,8838,1378.9,1374595.28,2961.11,1.178333333
Sugarcane,2019,Whole Year ,Uttarakhand,90688,6838266,1378.9,15576570.88,33554.56,75.7
Sunflower,2019,Kharif     ,Uttarakhand,28,17,1378.9,4809.28,10.36,0.75
Tobacco,2019,Whole Year ,Uttarakhand,3,6,1378.9,515.28,1.11,2
Turmeric,2019,Whole Year ,Uttarakhand,1313,4270,1378.9,225520.88,485.81,3.042
Urad,2019,Kharif     ,Uttarakhand,13173,12233,1378.9,2262594.48,4874.01,0.976153846
Urad,2019,Summer     ,Uttarakhand,69,72,1378.9,11851.44,25.53,1.02
Wheat,2019,Rabi       ,Uttarakhand,303283,887440,1378.9,52091888.08,112214.71,2.376923077
other oilseeds,2019,Kharif     ,Uttarakhand,12,9,1378.9,2061.12,4.44,0.82
other oilseeds,2019,Rabi       ,Uttarakhand,4,3,1378.9,687.04,1.48,0.835
Arhar/Tur,2019,Rabi       ,West Bengal,4845,12768,1733.4,832177.2,1792.65,2.699333333
Bajra,2019,Kharif     ,West Bengal,68,27,1733.4,11679.68,25.16,0.4
Barley,2019,Rabi       ,West Bengal,278,599,1733.4,47749.28,102.86,2.073333333
Coconut ,2019,Whole Year ,West Bengal,31300,390028000,1733.4,5376088,11581,11918.29136
Cotton(lint),2019,Kharif     ,West Bengal,305,590,1733.4,52386.8,112.85,1.18
Gram,2019,Rabi       ,West Bengal,36103,47419,1733.4,6201051.28,13358.11,1.294705882
Groundnut,2019,Autumn     ,West Bengal,4110,4605,1733.4,705933.6,1520.7,1.322857143
Groundnut,2019,Rabi       ,West Bengal,4687,9127,1733.4,805039.12,1734.19,1.797272727
Groundnut,2019,Summer     ,West Bengal,62233,142367,1733.4,10689140.08,23026.21,2.141052632
Horse-gram,2019,Rabi       ,West Bengal,1739,919,1733.4,298690.64,643.43,0.563
Jowar,2019,Autumn     ,West Bengal,180,95,1733.4,30916.8,66.6,0.515
Jute,2019,Kharif     ,West Bengal,505226,7901396,1733.4,86777617.76,186933.62,17.48388889
Khesari,2019,Rabi       ,West Bengal,97112,85928,1733.4,16679957.12,35931.44,1.003333333
Linseed,2019,Rabi       ,West Bengal,4055,2098,1733.4,696486.8,1500.35,0.515625
Maize,2019,Autumn     ,West Bengal,50026,170292,1733.4,8592465.76,18509.62,3.178333333
Maize,2019,Rabi       ,West Bengal,171547,1284319,1733.4,29464912.72,63472.39,4.138235294
Maize,2019,Summer     ,West Bengal,140811,992934,1733.4,24185697.36,52100.07,3.916666667
Masoor,2019,Rabi       ,West Bengal,172025,143792,1733.4,29547014,63649.25,0.749047619
Mesta,2019,Kharif     ,West Bengal,12434,166211,1733.4,2135663.84,4600.58,11.719375
Moong(Green Gram),2019,Kharif     ,West Bengal,2249,1896,1733.4,386288.24,832.13,0.874444444
Moong(Green Gram),2019,Rabi       ,West Bengal,1900,1497,1733.4,326344,703,0.756666667
Moong(Green Gram),2019,Summer     ,West Bengal,70233,28665,1733.4,12063220.08,25986.21,0.747619048
Niger seed,2019,Kharif     ,West Bengal,1005,519,1733.4,172618.8,371.85,0.584
Other  Rabi pulses,2019,Rabi       ,West Bengal,666,505,1733.4,114392.16,246.42,0.73
Other Kharif pulses,2019,Kharif     ,West Bengal,1523,1020,1733.4,261590.48,563.51,0.693333333
Peas & beans (Pulses),2019,Rabi       ,West Bengal,20041,19031,1733.4,3442242.16,7415.17,0.986666667
Potato,2019,Rabi       ,West Bengal,433051,12539819,1733.4,74380839.76,160228.87,27.68363636
Potato,2019,Summer     ,West Bengal,1630,19421,1733.4,279968.8,603.1,8.525
Ragi,2019,Autumn     ,West Bengal,2851,4174,1733.4,489687.76,1054.87,0.86
Rapeseed &Mustard,2019,Rabi       ,West Bengal,610402,712371,1733.4,104842647.5,225848.74,1.017272727
Rice,2019,Autumn     ,West Bengal,215126,514586,1733.4,36950041.76,79596.62,2.434285714
Rice,2019,Summer     ,West Bengal,1271772,4616835,1733.4,218439558.7,470555.64,3.464285714
Rice,2019,Winter     ,West Bengal,4004077,11344600,1733.4,687740265.5,1481508.49,2.771363636
Sannhamp,2019,Kharif     ,West Bengal,370,1539,1733.4,63551.2,136.9,4.64
Sesamum,2019,Autumn     ,West Bengal,651,549,1733.4,111815.76,240.87,0.854
Sesamum,2019,Summer     ,West Bengal,262135,133845,1733.4,45024307.6,96989.95,0.595714286
Sesamum,2019,Winter     ,West Bengal,584,451,1733.4,100307.84,216.08,1.03125
Small millets,2019,Autumn     ,West Bengal,1724,704,1733.4,296114.24,637.88,0.686666667
Small millets,2019,Rabi       ,West Bengal,4380,4830,1733.4,752308.8,1620.6,1.28
Soyabean,2019,Kharif     ,West Bengal,249,194,1733.4,42768.24,92.13,1.255
Sugarcane,2019,Whole Year ,West Bengal,19177,1527577,1733.4,3293841.52,7095.49,81.0915
Sunflower,2019,Kharif     ,West Bengal,7842,9576,1733.4,1346941.92,2901.54,1.114666667
Tobacco,2019,Whole Year ,West Bengal,15151,20457,1733.4,2602335.76,5605.87,1.51
Urad,2019,Kharif     ,West Bengal,66846,44876,1733.4,11481468.96,24733.02,0.64
Urad,2019,Rabi       ,West Bengal,5502,5215,1733.4,945023.52,2035.74,0.74
Wheat,2019,Rabi       ,West Bengal,188308,509970,1733.4,32343782.08,69673.96,2.647619048
